slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,0.0,9.0,20
0,0,10,east,video_2.mp4,10,17,1,1,0,19,max_over_samples,0.0,9.0,44
0,0,10,south,video_3.mp4,10,3,1,0,0,4,max_over_samples,0.0,9.0,18
0,0,10,west,video_4.mp4,10,10,1,2,1,14,max_over_samples,0.0,9.0,38
1,10,20,north,video_1.mp4,10,7,0,1,0,8,max_over_samples,10.0,19.0,25
1,10,20,east,video_2.mp4,10,11,2,2,0,15,max_over_samples,10.0,19.0,44
1,10,20,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,10.0,19.0,23
1,10,20,west,video_4.mp4,10,8,1,0,1,10,max_over_samples,0.466,15.0,28
2,20,30,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,0.043,23.0,24
2,20,30,east,video_2.mp4,10,14,2,1,0,17,max_over_samples,20.0,29.0,42
2,20,30,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,20.0,29.0,23
2,20,30,west,video_4.mp4,10,9,1,1,0,11,max_over_samples,4.466,13.466,31
3,30,40,north,video_1.mp4,10,7,0,1,0,8,max_over_samples,6.043,15.043,25
3,30,40,east,video_2.mp4,10,15,1,2,0,18,max_over_samples,0.169,30.0,44
3,30,40,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,30.0,39.0,16
3,30,40,west,video_4.mp4,9,8,1,2,1,12,max_over_samples,0.933,14.466,35
4,40,50,north,video_1.mp4,10,7,1,1,0,9,max_over_samples,0.085,23.043,27
4,40,50,east,video_2.mp4,10,15,2,2,0,19,max_over_samples,9.169,18.169,45
4,40,50,south,video_3.mp4,10,4,0,1,0,5,max_over_samples,40.0,49.0,19
4,40,50,west,video_4.mp4,10,9,1,1,0,11,max_over_samples,0.399,14.933,29
5,50,60,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,2.085,11.085,23
5,50,60,east,video_2.mp4,10,14,1,1,0,16,max_over_samples,19.169,28.169,46
5,50,60,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,50.0,59.0,18
5,50,60,west,video_4.mp4,10,9,1,0,1,11,max_over_samples,3.399,12.399,33
6,60,70,north,video_1.mp4,10,7,1,1,0,9,max_over_samples,12.085,21.085,26
6,60,70,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,0.338,30.169,39
6,60,70,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,60.0,69.0,22
6,60,70,west,video_4.mp4,10,9,1,2,1,13,max_over_samples,0.866,15.399,33
7,70,80,north,video_1.mp4,10,6,1,1,0,8,max_over_samples,0.128,23.085,26
7,70,80,east,video_2.mp4,10,13,1,5,0,19,max_over_samples,8.338,17.338,51
7,70,80,south,video_3.mp4,10,3,0,0,0,3,max_over_samples,70.0,79.0,14
7,70,80,west,video_4.mp4,10,8,1,1,0,10,max_over_samples,0.332,14.866,29
8,80,90,north,video_1.mp4,10,6,0,1,0,7,max_over_samples,8.128,17.128,24
8,80,90,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,18.338,27.338,44
8,80,90,south,video_3.mp4,10,5,0,1,0,6,max_over_samples,80.0,89.0,22
8,80,90,west,video_4.mp4,10,9,1,0,1,11,max_over_samples,2.332,11.332,30
9,90,100,north,video_1.mp4,10,7,1,2,0,10,max_over_samples,0.171,23.128,30
9,90,100,east,video_2.mp4,10,12,1,1,0,14,max_over_samples,0.508,30.338,34
9,90,100,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,90.0,99.0,15
9,90,100,west,video_4.mp4,10,9,2,3,1,15,max_over_samples,0.799,15.332,41
10,100,110,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,4.171,13.171,20
10,100,110,east,video_2.mp4,10,14,2,2,0,18,max_over_samples,7.508,16.508,46
10,100,110,south,video_3.mp4,10,2,1,1,0,4,max_over_samples,100.0,109.0,21
10,100,110,west,video_4.mp4,10,10,1,1,0,12,max_over_samples,0.265,14.799,33
11,110,120,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,14.171,23.171,23
11,110,120,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,17.508,26.508,40
11,110,120,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,110.0,119.0,23
11,110,120,west,video_4.mp4,10,10,2,1,0,13,max_over_samples,1.265,10.265,34
12,120,130,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,0.214,9.214,19
12,120,130,east,video_2.mp4,10,16,2,1,0,19,max_over_samples,0.677,30.508,43
12,120,130,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,120.0,129.0,23
12,120,130,west,video_4.mp4,10,9,1,2,1,13,max_over_samples,0.732,15.265,35
